title,date_company,content
"양평군, 고령자복지주택 공모사업 선정",16분전 | 쿠키뉴스 | 다음뉴스,쿠키뉴스 김정국 기자] 경기도 양평군은 양평공흥지구가 국토교통부 주관 2021년 고령자복지주택 공모사업에 최종 선정됐다고 11일 밝혔다. 양평군은 지난 3월 말 국토...
"양평 공흥지구, 고령자복지주택 선정..100세대 공급",3시간전 | 뉴시스 | 다음뉴스,양평고흥지구 고령자복지주택 조감도.(사진제공=양평군) *재판매 및 DB 금지 [양평=뉴시스]김동욱 기자 = 경기 양평군은 양평공흥지구가 국토교통부에서 주관하는 2021년...
주택·사회복지시설 복합…양평군 '고령자복지 임대주택' 짓는다,2시간전 | 경인일보,양평군 양평읍 공흥리 군유지 부지에 고령자를 위한 공공임대주택 100여 세대 이상이 지어진다.11일 군에 따르면 고령자복지 임대 주택은 저소득 어르신들이 주거지 내에서...
"전기차 충전소 확대·고령자 디지털 접근성 개선..행안부, 우수사...",4시간전 | 아시아경제 | 다음뉴스,"남동구는입지 타당성 용역, 지침 마련 등 적극행정에 나섰다는 평가다. 서울시는 고령자의 디지털 정보 접근성을 향상하기 위해 '고령층 친화 디지털 접근성 표준지침 및..."
"[과학] ""팬데믹 후 고령자 힐링 관광..청정·안전 담아 승부하라""",2021.05.10 | 매일경제 | 다음뉴스,"이노베이션 포럼`에서 장태수 단국대 교수가 `포스트 코로나 시대의 웰니스 관광과 고령자 여가생활`을 주제로 발표하고 있다. [한주형 기자] ""웰니스(Wellness)는 질병을..."
"'바늘구멍' 일본 고령자 백신 예약, 고위직 '특혜 예약' 논란",14분전 | 아시아투데이,도쿄 통신원 = 일본에서 신종 코로나바이러스 감염증(코로나19) 백신을 맞으려는 고령자들이 몰리며 혼란을 빚고 있는 가운데 일부 고위직이 특혜를 받아 논란이 되고 있다...
"양평군, ""국토부, 고령자복지주택 공모 선정→2024년 하반기 준공""",13시간전 | 국제뉴스,"(양평=국제뉴스) 김영명 기자 = 양평군은 ""국토교통부 주관 2021년 고령자복지주택 공모사업에 최종 선정됐다""고 밝혔다. 이번 공모는 고령자 친화형 공공임대주택과 사회..."
"[이 시각 주요뉴스] 신규 확진 511명..""고령자 1차 접종까지 고비...",3시간전 | KBS | 다음뉴스,"방역당국은 가족과 지인 등의 접촉을 통한 감염이 절반 수준이나 된다며 고령자 1차 접종이 끝나는 다음 달까지 방역수칙을 꼭 지켜달라고 당부했습니다. 미국, 12∼15세..."
[일본은 지금] 백신접종 예약하러 밤새 줄 선 日고령자들…예약 ...,1시간전 | 프레스맨,"전화와 인터넷을 통해 예약 접수를 받고 있는데, 인터넷 사용에 익숙하지 않은 고령자들이 전화 예약으로 몰리면서 지난 6일 도쿄에서는 통신업체 NTT히가시니혼(東日本)의..."
'하루 100만명·고령자 접종 7월 완료' 스가 백신 구상 의문,2021.05.09 | 연합뉴스 | 다음뉴스,달 12일 일본 후쿠오카(福岡)현 기타큐슈(北九州)시에서 의료 종사자가 65세 이상 고령자를 대상으로 신종 코로나바이러스 감염증(코로나19) 백신을 접종하고 있다...
