title
최근 5년간 독거노인 30%↑..무연고 노인 고독사 2배 급증
"레페리, 어버이날 맞아 지역 독거 노인에게 4억원 물품 기부"
"복지부·독거노인종합지원센터, 독거노인 후원 '효사랑 큰잔치'"
"신복위-서금원, 카네이션․한과세트 전통시장서 구매해 독거노인 ..."
합천군자원봉사協 독거노인 생신 도시락 전달
"고양시 중산동 새마을부녀회, 독거노인 500세대 효(孝) 꾸러미 전달"
"검단동 지역사회보장협의체, 독거노인에 카네이션·선물꾸러미 전달"
"환경공단 광주전남제주본부, 어버이날 맞아 독거노인 선물 전달"
"대한적십자봉사회 부안지구협, 독거노인에 물품 나눔"
"현대중공업그룹, 독거노인에 전자레인지 선물"
"서금원, 어버이날 맞아 독거노인에 한과·카네이션 전달"
"한솔동, 독거노인들과 행복한 봄 나들이"
"독거노인에 전자레인지 337대.. 현대重나눔재단, 4270만원 상당"
"부산 독거노인 복지재단·부산시설공단, 어버이날 맞아 추억 선물..."
"중앙자원봉사센터, 쯔양과 함께 독거노인에 어버이날 선물"
"오학동 지역사회보장협의체, 어버이날 독거노인 삼계탕 나눔 ‘훈..."
"좋은이웃봉사단, 어버이날 맞아 독거노인에 카네이션 전달"
"LG헬로, 독거노인 신선 농산물 '마음나눔 꾸러미' 온정"
"충주 이종배 의원, ""코로나19 확산으로 독거노인 고립 더욱 심화..."
"봉화요양원, 어버이날 맞아 독거노인에 야생화 화분 전해"
독거노인에 농산물 꾸러미 전달하는 농협 대전본부 직원들
가정의 달인데..코로나19로 더욱 살기 힘든 독거노인들
하동 고전면 독거노인 희망찾기 2호 추진
"롯데홈쇼핑, 독거노인 140가구에 카네이션·식료품 전달"
"롯데홈쇼핑, 독거노인에 '건강백세꾸러미' 선물 전달"
"담양군, 어버이날 맞아 저소득 독거노인 카네이션 전달"
"한국머크 바이오파마, 독거 노인 위한 '굿모닝 캠페인' 진행"
독거 노인 사역 임재욱 전도사 목사 안수
"한국농어촌 부여지사, 가정의 달 맞아 독거노인 위문"
"국민연금, 가정의 달 맞아 독거노인 후원금 전달"
