title,date_company,content,date,company
"제주항공, 어린이날 맞아 보육원에 애착인형 전달",2021.05.04 | 더팩트 | 다음뉴스,제주항공이 어린이날을 맞아 애착인형을 만들어 보육원에 전달했다고 4일 밝혔다. /제주항공 제공 객실승무원들이 직접 바느질해 보육원 영아들에게 전달 [더팩트｜한예주...,2021.05.04,더팩트
"제주항공, 영유아 위해 직접 만든 '애착인형·마스크' 전달",2021.05.04 | 메트로신문,제주항공 항공기. 제주항공 객실승무원들이 어린이날을 맞아 영유아를 위한 애착인형과 마스크를 직접 만들어 나주 이화영아원과 목포 동민영아원 영아들에게 전달했다...,2021.05.04,메트로신문
"제주항공 객실승무원, 전남 보육원에 애착인형 100개 전달",2021.05.05 | 서울파이낸스,[서울파이낸스 주진희 기자] 제주항공은 객실승무원들이 어린이날을 맞아 영유아를 위한 애착인형과 마스크를 직접 만들어 나주 이화영아원과 목포 동민영아원 영아들에게...,2021.05.05,서울파이낸스
"[항공오늘] 에어부산, 부산~김포 노선 99% 할인 정기권 한정판매...",2021.05.04 | 시사오늘,"것이 현명한 소비가 될 것”이라고 전했다. 제주항공, 어린이날 맞아 보육원에 애착인형 전달 제주항공은 객실승무원들이 어린이날을 맞아 직접 제작한 애착인형과 마스크를...",2021.05.04,시사오늘
"수원시자원봉사센터, 영통2동에 애착인형 기증",2021.04.27 | 브레이크뉴스,"지원을 위해 자원봉사자들이 모여 한 땀 한 땀 정성을 들여 만든 것으로 전달받은 애착인형은 4자녀 이상 다자녀가정과 다문화가정의 자녀, 심적 외로움을 겪고 있는 홀몸...",2021.04.27,브레이크뉴스
"국민대 봉사단, ‘애착인형 나눔’ 프로젝트 진행",2021.04.20 | 한국대학신문,TEAM OF CHANGEMAKER)들과 함께 혼합형 학습디자인 ‘애착인형 나눔’ 프로젝트를 시행했다고 20일 밝혔다. 애착인형 나눔 프로젝트란 부모와 헤어진 36개월 미만의 아이들...,2021.04.20,한국대학신문
'건강한 애착·정서 강좌 & 애착인형 만들기’ 신청접수,2021.04.19 | 환경일보,"체험이 진행될 예정이다. 또한 '애착인형 제작키트'는 선착순 80명을 선발해 ‘애착인형’ 만들기 제품을 배송할 예정이다. 온라인강좌 신청은 오는 5월9일까지이며, 세부...",2021.04.19,환경일보
"'유퀴즈' 인형 병원장 김갑연 ""애착인형 치료 8만원""",2021.04.07 | MBC연예 | 다음뉴스,애착인형을 치료하는 비용이 8만원까지도 든다는 사실이 밝혀졌다. iMBC 연예뉴스 사진 iMBC 연예뉴스 사진 iMBC 연예뉴스 사진 7일 밤 tvN에서 방송된 '유 퀴즈 온 더 블럭...,2021.04.07,MBC연예
"영국 프리미엄 애착인형 젤리캣, 신제품 '뉴 바쉬풀 라이언' 출시",2021.04.05 | 베이비뉴스 | 다음뉴스,"【베이비뉴스 전아름 기자】 영국 프리미엄 애착 인형 브랜드 젤리캣, 3월 신제품 '뉴 바쉬풀 라이언' 출시. ⓒ쁘띠엘린 영국 프리미엄 애착 인형 브랜드 젤리캣, 3...",2021.04.05,베이비뉴스
"인구보건복지협회 부산지회, ‘건강한 애착&정서 나누기, 애착인...",2021.04.16 | 시사타임즈,보건복지협회 부산지회에서 5월 가정의 달을 맞이하여 온라인 건강강좌 ‘애착 강좌 & 애착인형 만들기’를 준비했다. ▲사진제공 = 인구보건복지협회. ⒞시사타임즈 이번...,2021.04.16,시사타임즈
"인형 병원 원장 ""애착인형 치료, 하루 50~100건 들어온다"" (유퀴즈)",2021.04.07 | 엑스포츠뉴스 | 다음뉴스,"이날 김갑연 원장은 인형 병원에 대해 ""인형계 중증 외상 센터. 인형 병원의 김갑연 원장님이다. 애착 인형이 망가지고 훼손되면 그걸 치료해준다""라며 소개했다. 유재석은...",2021.04.07,엑스포츠뉴스
하루종일 굶어 배고픈데도 밥 먹을 돈 아껴 반려견 '애착 인형·...,2021.04.24 | 인사이트,하루종일 굶어 배고픈데도 밥 먹을 돈 아껴 반려견 '애착 인형·꼬까옷' 사준 노숙자 엄마,2021.04.24,인사이트
"주상욱♥차예련 딸 인아, 애착인형 안은 뽀시래기..언제 이렇게 컸니",2021.04.01 | OSEN | 다음뉴스,"특히 폭풍성장한 인아의 모습에 랜선이모들이 흐뭇한 미소를 지었다. 인아는 애착인형인 듯한 인형을 안고 있는 모습이 미소를 자아낸다. 한편, 주상욱과 차예련은 2017...",2021.04.01,OSEN
애착 인형 잃어버린 2살 소녀가 오열한다는 말에 '호캉스 인증샷'...,2021.04.20 | 인사이트,애착 인형 잃어버린 2살 소녀가 오열한다는 말에 '호캉스 인증샷' 보내준 호텔 직원,2021.04.20,인사이트
'애착 인형'과 매일 같이 있고 싶어 빨래 못 하는 사람들 '대리 ...,2021.04.10 | 인사이트,김한솔 기자 = 어린 시절 첫 친구가 되어줘 모든 일상을 함께했던 '애착 인형'이 있는가.애착 인형과 한시도 떨어져 있지 않다 보니 여기저기 헤지고 더러워지기 십상이다...,2021.04.10,인사이트
"방탄소년단 지민, 드웨인 웨이드❤가브리엘 유니온 딸 애착인형…...",2021.04.01 | 여행레저신문,"모습, 아빠 드웨인에게 치미와 안겨있는 모습 등을 계속해서 SNS를 통해 공개하며 애착 인형 치미를 향한 끊임없는 애정을 표현해 왔다. &apos;치미&apos;는 글로벌 스타들...",2021.04.01,여행레저신문
[스브스뉴스] 세월 정통으로 맞은 애착 인형 고쳐주는 인형 병원,2021.02.21 | SBS | 다음뉴스,"가슴 속에 품은 소중한 '애착 인형', 다들 하나쯤은 갖고 계실텐데요. 어렸을 적부터 함께 해오다보니 세월을 그대로 맞아버린 애착 인형들 그대로 둘 수 밖에 없어 가슴...",2021.02.21,SBS
애착 인형을 치료해주는 '인형 병원'을 아시나요?,2021.03.09 | 소비라이프,"위해 직접 부자재 시장에 가기 때문에 시간이 꽤 걸린다""고 덧붙였다. 애착 인형인 만큼 기존 인형에서 최대한 비슷하게 만들어야 하므로 소비자와 소통하며 해외 직구 시장...",2021.03.09,소비라이프
"소녀에게 가해진 엄마의 폭력, 그보다 더 큰 문제는",2021.05.07 | 오마이뉴스 | 다음뉴스,된다. 특히 영화의 초반부에서 다른 말은 하지 않으려고 하는 하루미가 자신의 애착 인형을 선물해 준 사람이 엄마라고 대답하는 것과 하나의 물음에 엄마를 좋아한다고...,2021.05.07,오마이뉴스
순천향대천안병원 어린이날 기념 이벤트,2021.05.06 | 뉴시스 | 다음뉴스,"어린이날 기념 이벤트를 열었다. 소아청소년과 의료진은 병실을 돌며 마스크, 애착인형, 레고 등으로 구성된 선물을 전달하며 어린이날 병실에서 치료를 받아야 하는 어린이...",2021.05.06,뉴시스
