id,question
0,﻿좋은 아침.
1,좋은 아침.
2,굿 모닝.
3,안녕.
4,안녕 헬퍼.
5,안녕 헬퍼야.
6,안녕 헬퍼.
7,헬퍼야
8,고마워.
9,고맙다.
10,"고마워, 덕분에."
11,"그래, 고마워."
12,"응, 고맙다."
13,"그래, 오늘은 쉬었다가 해야겠다."
14,그래야겠어.
15,그래야겠다.
16,그래야지.
17,"응, 그럴게."
18,"응, 그래야겠다."
19,"응, 그게 낫겠다."
20,"그래, 그게 낫겠어."
21,"응, 그게 나을 것 같아."
22,"응, 오늘은 좀 쉬었다가 해야겠어."
23,"응, 좀 쉬었다가 할게."
24,"응, 쉬다가 다시 해야겠다."
25,쉬엄 쉬엄 해야겠어.
26,좀 쉬었다가 다시 해야겠어.
27,쉬었다가 하는게 좋겠어.
28,좀 쉴게.
29,날씨가 좋으니까 기분도 좋다.
30,날씨가 좋으니 기분도 좋아지네.
31,날씨가 좋아서 기분도 좋은 것 같아.
32,내일은 덜 바쁠까?
33,내일은 좀 덜 바쁠까?
34,내일은 좀 덜 바쁘려나?
35,내일은 좀 한가할까?
36,내일은 한가할까?
37,너는 남자야 여자야?
38,넌 남자니 여자니?
39,너는 남자야?
40,너는 여자니?
41,너의 성별은 뭐니?
42,너의 성별은 뭐야?
43,너는 어디에 살아?
44,너는 어디에 사니?
45,너 지금 어디야?
46,너 지금 어디니?
47,지금 어디있어?
48,어디야?
49,너 어디니?
50,너는 어디에 있어?
51,지금 어디야?
52,너는 이름이 뭐야?
53,너는 이름이 뭐니?
54,너의 이름은 뭐야?
55,너 이름은 어떻게 돼?
56,넌 뭐야?
57,이름이 뭐야?
58,넌 정체가 뭐야?
59,너 이름 알려줘.
60,배부르다.
61,아 배부르다.
62,배부르네.
63,배불러.
64,아 배불러.
65,아 너무 배불러.
66,너무 배부르다.
67,진짜 배부르다.
68,완전 배부르다.
69,아 잘먹고왔다.
70,아 너무 잘먹었다.
71,너무 잘 먹고왔어.
72,오늘은 진짜 잘먹었어.
73,오늘 배부르게 잘먹었어.
74,배부르게 잘먹고왔어.
75,배고파.
76,아 배고프다.
77,배고프다.
78,벌써 배고프다.
79,너무 배가 고파.
80,아침을 안 먹었더니 배가 고프네.
81,슬슬 배가 고파져.
82,조금씩 배고프네.
83,점점 배고프네.
84,오늘 점심은 별로였어.
85,점심식사가 너무 별로였어.
86,오늘 점심 너무 별로더라.
87,점심 메뉴가 너무 별로였어.
88,점심이 너무 맛없었어.
89,점심이 너무 별로였어.
90,밥이 맛 없어서 얼마 못먹었어.
91,오늘 밥이 너무 형편없었어.
92,피곤하다.
93,오늘따라 좀 피곤하다.
94,오늘은 많이 피곤하다.
95,아 너무 피곤하다.
96,집중이 안돼.
97,오늘 집중이 안돼.
98,집중력이 흐려지는 것 같아.
99,오늘따라 집중이 잘 안 되는 것 같아.
100,오늘은 집중이 안되네.
101,오늘 좀 집중력이 떨어지네.
102,오늘따라 피곤하네.
103,오늘은 좀 피곤한 것 같아.
104,피곤해.
105,안 그래도 점심 먹고 산책하려고.
106,그래서 점심 먹고 산책할거야.
107,오늘은 집중이 잘되는 날이야.
108,너 로봇이야?
109,너는 로봇이야?
110,너는 로봇이니?
111,너 로봇 아니니?
112,너는 뭘까?
113,야.
114,저기.
115,컴패니언.
116,퇴근 시간 얼마나 남았지?
117,퇴근까지 얼마나 남았어?
118,퇴근까지 얼마나 남았는지 알려줄래?
119,퇴근 얼마나 남았는지 알려줘.
120,몇 분 뒤에 퇴근이야?
121,뭐 먹지?
122,뭐 먹을까?
123,오늘 뭐 먹을까?
124,오늘은 뭐 먹지?
125,오늘은 뭐 먹는게 좋을까?
126,점심 뭐 먹지?
127,오늘 점심은 뭐 먹을까?
128,오늘은 점심으로 뭐가 좋을까?
129,점심으로 뭐 먹는게 좋을까?
130,떡볶이 좋지.
131,"오, 그거 좋다."
132,좋다 그거.
133,그거 좋은 생각이다.
134,그것 참 좋은 생각인 것 같아.
135,"오, 그거 좋네."
136,좋은 생각이야.
137,그거 참 좋은 생각이네.
138,되게 좋은 생각이다.
139,짜장면 좋지.
140,짜장면 괜찮다.
141,"그래, 짜장면 먹어야겠다."
142,그거 먹어야겠다.
143,오늘 미세먼지 농도는 어때?
144,오늘 미세먼지 수치좀 알려줘.
145,오늘 미세먼지 농도가 어떻게 돼?
146,오늘 미세먼지 농도 알 수 있을까?
147,지금 미세먼지는 어때?
148,지금 미세먼지가 어떤지 알려줘.
149,미세먼지 어떤지 알려줄래?
150,"컴패니언, 오늘 날씨 어때?"
151,오늘 날씨 말해줘.
152,오늘 날씨 좀 알려줘.
153,오늘 날씨 어때?
154,날씨 알려줘.
155,오늘 날씨 좋네.
156,오늘 날씨 너무 좋다.
157,날씨가 좋네.
158,날씨 좋다!
159,지금 날씨 어때?
160,지금 날씨 어떤지 말해줘.
161,날씨 어때?
162,춥다 오늘.
163,오늘 기온이 낮은가봐.
164,오늘 좀 춥다.
165,오늘은 날씨가 좀 춥네.
166,오늘은 좀 추운것 같아.
167,오늘 날씨가 꽤나 쌀쌀하네.
168,오늘 회의도 많고 너무 바쁘네.
169,오늘 할일도 많고 너무 바빠.
170,할일이 많아서 너무 바쁘네.
171,할일이 너무 많아.
172,오늘 일이 많네.
173,오늘도 너무 바쁘다.
174,오늘도 너무 바빠.
175,오늘 너무 바쁘다.
176,오늘따라 시간이 안 가네.
177,왜 이렇게 시간이 안가지.
178,시간이 너무 안가는 것 같아.
179,시간이 너무 더디게 가는 기분이야.
180,시간이 왜이렇게 안 갈까.
181,너무 시간이 안가.
182,"아니, 괜찮아."
183,"아니야, 괜찮아."
184,"됐어, 괜찮아."
185,"아니, 그런 건 아닌데."
186,"아니, 그런 건 아니야."
187,그런 건 아니고.
188,"아니, 그런건 아니야."
189,"아니, 아직."
190,"아니, 없어."
191,오늘 시간이 너무 안가네.
192,너무 시간이 안 가는것 같아.
193,오늘은 미팅이 많아.
194,오늘 미팅이 많이 있네.
195,미팅이 많네.
196,하루가 미팅으로 꽉 차있네.
197,미팅이 가득이네.
198,이제 곧 퇴근이야.
199,퇴근이다!
200,곧 퇴근이야!
201,오늘은 칼퇴 할거야.
202,오늘은 칼퇴 해야지.
203,오늘은 제때 칼퇴 해야지.
204,정시에 딱 퇴근할거야.
205,조금 있으면 퇴근이야!
206,곧 퇴근할거야.
207,오늘은 제때 퇴근할 수 있겠어.
208,퇴근해야겠어.
209,드디어 퇴근이야.
210,정각에 퇴근할게.
211,퇴근한다~
212,퇴근할게.
213,안녕~ 내일 보자.
214,"안녕, 퇴근할게."
215,"난 퇴근할게, 내일 봐."
216,"퇴근할게, 수고했어."
217,"응, 좋은 하루."
218,잘 보냈어.
219,잘 보냈지.
220,잘 보내고 왔어.
221,"그럼, 잘 보냈지."
222,"응, 잘 보내고 왔지."
223,정말 잘 보내고 왔어.
224,그럭저럭.
225,"응, 안녕."
226,"헬퍼야, 뭐해?"
227,"헬퍼, 너 뭐해?"
228,음악 좀 틀어줘.
229,신나는 음악 듣고 싶어
230,슬픈 노래 틀어줘
231,햄버거 먹고싶어.
232,"오늘 세시에 회의있어, 30분 전에 알려줘."
233,지친다 오늘.
234,전화 온 것 있니?
235,오늘 일은 다 끝냈어.
236,오늘 업무 다했어.
237,퇴근 하고싶다.
238,지금 밖에 비와?
239,밖에 비 오니?
240,실내 온도가 어떻게 돼?
241,밖에 기온 좀 알려줘.
242,이제 퇴근해도 되겠지?
243,안이 좀 더운거 같아.
244,지금 좀 춥네.
245,밖에 더운가?
246,오늘 덥지?
247,밖이 화창해 보이네.
248,오늘은 더우니까 냉면을 먹어야겠어.
249,추운데 뭘 먹는게 좋을까?
250,눈 오는것 같은데?
251,너는 오늘 기분 어때?
252,무슨 생각해?
253,기분이 영 별로야.
254,잘 못알아 듣는구나
255,어떤 상상?
256,무슨 상상?
257,무슨 상상을 해?
258,그럼 너는 할 수 있어
259,물론이지 할 수 있어
260,당연하지 잘 할거야
261,아니야 됐다
262,그렇구나 푹 쉬어
263,안돼 쉬지마
264,나랑 놀자
265,숨박꼭질
266,끝말잇기
267,그냥 대화하면서 놀자
268,아무 대화
269,넌 나의 좋은 친구
270,아니
271,아니야
272,응 좋아해
273,아니 안 좋아해
274,재밌는 친구야
275,너 정말 재밌다
276,화이팅
