,Unnamed: 0,강원도,가평군,가경동,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
0,,경기도,강남구,가곡동,,,,,,,,,,,,,
1,,경상남도,강동구,가곡면,,,,,,,,,,,,,
2,,경상북도,강릉시,가남읍,,,,,,,,,,,,,
3,,광주광역시,강북구,가능동,,,,,,,,,,,,,
4,,대구광역시,강서구,가덕도동,,,,,,,,,,,,,
5,,대전광역시,강진군,가덕면,,,,,,,,,,,,,
6,,부산광역시,강화군,가락1동,,,,,,,,,,,,,
7,,서울특별시,거제시,가락2동,,,,,,,,,,,,,
8,,세종특별자치시,거창군,가락동,,,,,,,,,,,,,
9,,울산광역시,경산시,가락본동,,,,,,,,,,,,,
10,,이어도,경주시,가례면,,,,,,,,,,,,,
11,,인천광역시,계룡시,가리봉동,,,,,,,,,,,,,
12,,전라남도,계양구,가북면,,,,,,,,,,,,,
13,,전라북도,고령군,가사문학면,,,,,,,,,,,,,
14,,제주특별자치도,고성군,가산동,,,,,,,,,,,,,
15,,충청남도,고양시덕양구,가산면,,,,,,,,,,,,,
16,,충청북도,고양시일산동구,가수원동,,,,,,,,,,,,,
17,,,고양시일산서구,가야곡면,,,,,,,,,,,,,
18,,,고창군,가야면,,,,,,,,,,,,,
19,,,고흥군,가야읍,,,,,,,,,,,,,
20,,,곡성군,가야제1동,,,,,,,,,,,,,
21,,,공주시,가야제2동,,,,,,,,,,,,,
22,,,과천시,가양1동,,,,,,,,,,,,,
23,,,관악구,가양2동,,,,,,,,,,,,,
24,,,광명시,가양제1동,,,,,,,,,,,,,
25,,,광산구,가양제2동,,,,,,,,,,,,,
26,,,광양시,가양제3동,,,,,,,,,,,,,
27,,,광주시,가은읍,,,,,,,,,,,,,
28,,,광진구,가음면,,,,,,,,,,,,,
29,,,괴산군,가음정동,,,,,,,,,,,,,
30,,,구례군,가장동,,,,,,,,,,,,,
31,,,구로구,가정1동,,,,,,,,,,,,,
32,,,구리시,가정2동,,,,,,,,,,,,,
33,,,구미시,가정3동,,,,,,,,,,,,,
34,,,군산시,가조면,,,,,,,,,,,,,
35,,,군위군,가좌1동,,,,,,,,,,,,,
36,,,군포시,가좌2동,,,,,,,,,,,,,
37,,,금산군,가좌3동,,,,,,,,,,,,,
38,,,금정구,가좌4동,,,,,,,,,,,,,
39,,,금천구,가창면,,,,,,,,,,,,,
40,,,기장군,가천면,,,,,,,,,,,,,
41,,,김제시,가평읍,,,,,,,,,,,,,
42,,,김천시,가포동,,,,,,,,,,,,,
43,,,김포시,가호동,,,,,,,,,,,,,
44,,,김해시,가회동,,,,,,,,,,,,,
45,,,나주시,가회면,,,,,,,,,,,,,
46,,,남구,가흥1동,,,,,,,,,,,,,
47,,,남동구,가흥2동,,,,,,,,,,,,,
48,,,남양주시,각남면,,,,,,,,,,,,,
49,,,남원시,각북면,,,,,,,,,,,,,
50,,,남해군,간동면,,,,,,,,,,,,,
51,,,노원구,간석1동,,,,,,,,,,,,,
52,,,논산시,간석2동,,,,,,,,,,,,,
53,,,단양군,간석3동,,,,,,,,,,,,,
54,,,달서구,간석4동,,,,,,,,,,,,,
55,,,달성군,간성읍,,,,,,,,,,,,,
56,,,담양군,간전면,,,,,,,,,,,,,
57,,,당진시,갈마1동,,,,,,,,,,,,,
58,,,대덕구,갈마2동,,,,,,,,,,,,,
59,,,도봉구,갈말읍,,,,,,,,,,,,,
60,,,동구,갈매동,,,,,,,,,,,,,
61,,,동대문구,갈산1동,,,,,,,,,,,,,
62,,,동두천시,갈산2동,,,,,,,,,,,,,
63,,,동래구,갈산동,,,,,,,,,,,,,
64,,,동작구,갈산면,,,,,,,,,,,,,
65,,,동해시,갈현동,,,,,,,,,,,,,
66,,,마포구,갈현제1동,,,,,,,,,,,,,
67,,,목포시,갈현제2동,,,,,,,,,,,,,
68,,,무안군,감곡면,,,,,,,,,,,,,
69,,,무주군,감만제1동,,,,,,,,,,,,,
70,,,문경시,감만제2동,,,,,,,,,,,,,
71,,,미추홀구,감문면,,,,,,,,,,,,,
72,,,밀양시,감물면,,,,,,,,,,,,,
73,,,보령시,감북동,,,,,,,,,,,,,
74,,,보성군,감삼동,,,,,,,,,,,,,
75,,,보은군,감일동,,,,,,,,,,,,,
76,,,봉화군,감전동,,,,,,,,,,,,,
77,,,부산진구,감천면,,,,,,,,,,,,,
78,,,부안군,감천제1동,,,,,,,,,,,,,
79,,,부여군,감천제2동,,,,,,,,,,,,,
80,,,부천시,감포읍,,,,,,,,,,,,,
81,,,부평구,갑천면,,,,,,,,,,,,,
82,,,북구,강경읍,,,,,,,,,,,,,
83,,,사상구,강구면,,,,,,,,,,,,,
84,,,사천시,강남동,,,,,,,,,,,,,
85,,,사하구,강내면,,,,,,,,,,,,,
86,,,산청군,강동동,,,,,,,,,,,,,
87,,,삼척시,강동면,,,,,,,,,,,,,
88,,,상주시,강림면,,,,,,,,,,,,,
89,,,서구,강상면,,,,,,,,,,,,,
90,,,서귀포시,강서동,,,,,,,,,,,,,
91,,,서대문구,강서제1동,,,,,,,,,,,,,
92,,,서산시,강서제2동,,,,,,,,,,,,,
93,,,서천군,강일동,,,,,,,,,,,,,
94,,,서초구,강진면,,,,,,,,,,,,,
95,,,성남시분당구,강진읍,,,,,,,,,,,,,
96,,,성남시수정구,강천면,,,,,,,,,,,,,
97,,,성남시중원구,강하면,,,,,,,,,,,,,
98,,,성동구,강현면,,,,,,,,,,,,,
99,,,성북구,강화읍,,,,,,,,,,,,,
100,,,성주군,개군면,,,,,,,,,,,,,
101,,,세종특별자치시,개금제1동,,,,,,,,,,,,,
102,,,속초시,개금제2동,,,,,,,,,,,,,
103,,,송파구,개금제3동,,,,,,,,,,,,,
104,,,수성구,개령면,,,,,,,,,,,,,
105,,,수영구,개봉제1동,,,,,,,,,,,,,
106,,,수원시 권선구,개봉제2동,,,,,,,,,,,,,
107,,,수원시권선구,개봉제3동,,,,,,,,,,,,,
108,,,수원시영통구,개운동,,,,,,,,,,,,,
109,,,수원시장안구,개정동,,,,,,,,,,,,,
110,,,수원시팔달구,개정면,,,,,,,,,,,,,
111,,,순창군,개진면,,,,,,,,,,,,,
112,,,순천시,개천면,,,,,,,,,,,,,
113,,,시흥시,개포1동,,,,,,,,,,,,,
114,,,신안군,개포2동,,,,,,,,,,,,,
115,,,아산시,개포4동,,,,,,,,,,,,,
116,,,안동시,개포면,,,,,,,,,,,,,
